geo_type,name,alternative_name,region,country,date,driving,walking
city,Catania,<undefined>,Sicily Region,Italy,2021-12-12,139.22,141.59
city,Catania,<undefined>,Sicily Region,Italy,2021-12-13,157.26,138.79
city,Catania,<undefined>,Sicily Region,Italy,2021-12-14,140.46,143.71
city,Catania,<undefined>,Sicily Region,Italy,2021-12-15,151.02,153.16
city,Catania,<undefined>,Sicily Region,Italy,2021-12-16,149.05,152.46
city,Catania,<undefined>,Sicily Region,Italy,2021-12-17,155.45,176.84
city,Catania,<undefined>,Sicily Region,Italy,2021-12-18,165.69,198.47
city,Catania,<undefined>,Sicily Region,Italy,2021-12-19,153.04,137.53
city,Catania,<undefined>,Sicily Region,Italy,2021-12-20,163.24,158.64
city,Catania,<undefined>,Sicily Region,Italy,2021-12-21,186.99,167.2
city,Catania,<undefined>,Sicily Region,Italy,2021-12-22,224.62,172.38
city,Catania,<undefined>,Sicily Region,Italy,2021-12-23,172.82,154.17
city,Catania,<undefined>,Sicily Region,Italy,2021-12-24,94.45,85.18
city,Catania,<undefined>,Sicily Region,Italy,2021-12-25,63.35,52.57
city,Catania,<undefined>,Sicily Region,Italy,2021-12-26,110.89,100.48
city,Catania,<undefined>,Sicily Region,Italy,2021-12-27,141.26,136.71
city,Catania,<undefined>,Sicily Region,Italy,2021-12-28,139.76,145.76
city,Catania,<undefined>,Sicily Region,Italy,2021-12-29,134.83,144.3
city,Catania,<undefined>,Sicily Region,Italy,2021-12-30,132.43,140.06
city,Catania,<undefined>,Sicily Region,Italy,2021-12-31,123.87,142.14
city,Florence,Firenze,Tuscany Region,Italy,2020-01-13,100,100
city,Florence,Firenze,Tuscany Region,Italy,2020-01-14,101.46,92.51
city,Florence,Firenze,Tuscany Region,Italy,2020-01-15,116.53,110.66
city,Florence,Firenze,Tuscany Region,Italy,2020-01-16,111.49,115.56
city,Florence,Firenze,Tuscany Region,Italy,2020-01-17,113.41,117.84
city,Florence,Firenze,Tuscany Region,Italy,2020-01-18,125.48,128.12
city,Florence,Firenze,Tuscany Region,Italy,2020-01-19,107.5,97.16
city,Florence,Firenze,Tuscany Region,Italy,2020-01-20,100.84,88.78
city,Florence,Firenze,Tuscany Region,Italy,2020-01-21,102.19,98.3
city,Florence,Firenze,Tuscany Region,Italy,2020-01-22,106.5,105.3
city,Florence,Firenze,Tuscany Region,Italy,2020-01-23,110.09,109.61
city,Florence,Firenze,Tuscany Region,Italy,2020-01-24,115.07,119.85
