geo_type,name,alternative_name,region,country,date,driving,walking
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-08-10,400.24,459.96
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-08-11,386.92,469.09
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-08-12,387.56,448.5
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-08-13,402.56,482.89
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-08-14,430.15,465.32
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-08-15,440.16,430.64
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-08-16,494.45,447.65
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-08-17,476.69,523.67
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-08-18,416.08,559.14
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-08-19,410.89,503.02
